LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(pixel/sec),(pixel),(sec),(pixel),(pixel),(pixel),
ID1180194 ? ID1180219,1199,1180194,1180219,0.007483861717371422,0.20950573328107241,0.08650931578374332,0.08650931578374332,700.5,31.34305072476518,17.17420493769095,0.0,
ID1180170 ? ID1180194,1199,1180170,1180194,0.003423213287549135,NaN,0.05850823264762947,0.05850823264762947,699.5,31.41297308506539,17.19189809965425,0.0,
ID1180219 ? ID1180243,1199,1180219,1180243,0.005315792856887132,2.2139053827676975,0.07290948399822297,0.07290948399822297,701.5,31.326687470400827,17.14194130570702,0.0,
ID1180189 ? ID1180217,1200,1180189,1180217,0.045263227776309346,NaN,0.21275156351084554,0.21275156351084554,700.5,41.889433007319276,1.5607290192414665,0.0,
ID1180218 ? ID1180241,1201,1180218,1180241,0.022636003791306744,NaN,0.15045266295850912,0.15045266295850912,701.5,63.45016860662851,4.610416074843295,0.0,
ID1180245 ? ID1180272,1202,1180245,1180272,0.11823806029089684,NaN,0.3438576163049131,0.3438576163049131,702.5,30.865341017763033,20.54854535302358,0.0,
ID1180252 ? ID1180277,1203,1180252,1180277,0.004896474600257753,NaN,0.06997481404232349,0.06997481404232349,702.5,67.79561071478324,36.257350868685684,0.0,
ID1180408 ? ID1180432,1204,1180408,1180432,0.06894240255201343,1.491580008927835,0.2625688529738694,0.2625688529738694,708.5,72.53012945120784,12.46759162564641,0.0,
ID1180550 ? ID1180579,1204,1180550,1180579,0.03555761429181787,2.217447626725723,0.18856726728628664,0.18856726728628664,713.5,72.52121286292291,12.477273137290188,0.0,
ID1180351 ? ID1180382,1204,1180351,1180382,0.0017682807526074958,1.7368601465659141,0.042050930460662765,0.042050930460662765,706.5,72.41044498637712,12.491415739068156,0.0,
ID1180608 ? ID1180639,1204,1180608,1180639,0.0015014144949813397,0.632971832957083,0.038748090210761865,0.038748090210761865,715.5,72.5142883211075,12.490925687867797,0.0,
